select * from master.m_defect_item where line_id = 'KFBH' and target is not null	KFBH 라인에서 계측된 DEFECT ITEM 테스트의 Target 값이 NULL이 아닌 경우만 출력
select * from master.m_defect_item where line_id = 'KFBH' and spec_high is not null	KFBH 라인에서 테스트된 DEFECT 테스트 항목의 스펙 상한선이 존재하는 경우만 출력
select line_id, step_seq, item_id, spec_high from master.m_defect_item where spec_high is not null	스펙 상한선이 값이 존재 하는 DEFECT 계측 항목에 대해, LINE ID, STEP SEQ, ITEM ID, SPEC 상한선 값을 조회
select * from master.m_defect_item where line_id = 'KFBG' and last_update_time > current_timestamp + '-7 days'	KFBG 라인의 DEFECT 계측 기준 정보 중 최근 7일 이내에 변경된 경우 조회
select lot_id, wafer_id, step_seq, inspect_die, raw_defective_die_cnt from quality.m_defect_chip where process_id = 'KPLB' and root_lot_id = 'G2F452'	KPLB 공법 G2F452 ROOT LOT의 CHIP DEFECT 테스트 결과 중에서 LOT ID, WAFER ID, STEP SEQ, 테스트 CHIP 개수, DEFECT이 검출된 CHIP 개수를 조회
select lot_id, wafer_id, avg(raw_defective_die_cnt) from quality.m_defect_chip where part_id = 'K4A8G085WC-GAF' group by lot_id, wafer_id	K4A8G085WC-GAF 제품 중에서 LOT, WAFER 마다 평균 DEFECT 검출 CHIP 개수를 조회하라
select eqp_id, array_agg(distinct chamber_id) from quality.m_fab_tracking where root_lot_id = 'GKG706' and wafer_id in (select distinct wafer_id from quality.m_defect_summary where root_lot_id = 'GKG706' and good_chip_ratio < 0.8) group by eqp_id	K4A8G085WC-GAF 제품 중에서 검출된 총 DEFECT 개수가 많은 순으로 LOT, WAFER, DEFECT 개수 결과를 조회하라
select lot_id, MAX(total_dft_cnt) from quality.m_defect_chip where part_id = 'KHAA84901B-GEL' group by LOT_ID	KHAA84901B-GEL 제품에 속하는 각 LOT 별로 검출된 최대 DEFECT 개수
select lot_id, avg(total_dft_cnt) from quality.m_defect_chip where part_id = 'KHAA84901B-GEL' group by lot_id having avg(total_dft_cnt) > 100	KHAA84901B-GEL 제품에 속하는 LOT들 중, 검출된 DEFECT 전체 개수의 평균이 100을 초과하는 경우 결과 출력
select * from quality.m_fab_tracking where lot_id in (select distinct lot_id from quality.m_defect_chip where part_id = 'KHAA84901B-GEL' group by lot_id||'_'||part_id having avg(total_dft_cnt) > 100)	KHAA84901B-GEL 제품에 속하는 LOT들 중, 검출된 DEFECT 전체 개수의 평균이 100을 초과하는 LOT에 대한 모든 FAB TRACKING 이력을 조회
select count(wafer_id) from quality.m_defect_chip where part_id = 'KHAA84901B-GEL' and good_chip_ratio > 0.9	KHAA84901B-GEL 제품 중 GOOD CHIP RATIO가 0.9 이상인 WAFER의 총 매수를 계산
select lot_id, count(wafer_id) from quality.m_defect_chip where part_id = 'KHAA84901B-GEL' and good_chip_ratio > 0.9 group by lot_id	KHAA84901B-GEL 제품 중 GOOD CHIP RATIO가 0.9 이상인 WAFER의 매수를 LOT 별로 계산
select reticle_id, avg(good_chip_ratio) from quality.m_defect_chip where PART_ID = 'K9AFGD8J0C-PPT' group by reticle_id having avg(good_chip_ratio) < 0.1	KHAA84901B-GEL 제품에 사용된 RETICLE 중, RETICLE 별 평균 GOOD CHIP RATIO가 0.1 미만인 경우를 출력
select * from quality.m_defect_chip where part_id = 'K9GCGD8U0F-CXT' and last_update_time > current_date + interval '-20 DAY'	K9GCGD8U0F-CXT 제품 중 최근 20일 이내에 수행한 DEFECT 테스트 결과 조회
select recipe_id, avg(good_chip_ratio) from quality.m_defect_summary where root_lot_id = 'GKG706' group by recipe_id	GKG706 루트랏의 recipe 별 good chip ratio 평균값 조회
select a.eqp_id, a.wafer_id, a.good_chip_ratio from quality.m_defect_summary as a inner join (select eqp_id, min(good_chip_ratio) as minVal from quality.m_defect_summary where root_lot_id = 'GKG706' group by eqp_id) b on a.good_chip_ratio = b.minVal where root_lot_id = 'GKG706' order by eqp_id	GKG706 root lot이 지나간 설비 중 good chip ratio가 가장 낮은 wafer의 good chip ratio 값을 설비, Wafer와 함께 조회하라
select eqp_id, array_agg(distinct chamber_id) from quality.m_fab_tracking where root_lot_id = 'GKG706' and wafer_id in (select distinct wafer_id from quality.m_defect_summary where root_lot_id = 'GKG706' and good_chip_ratio < 0.8) group by eqp_id	GKG706 root lot 중 Defect 계측 결과 good chip 비율이 0.8 미만인 wafer가 지나간 설비 챔버 리스트 조회
select distinct wafer_id, wafer_size from quality.m_defect_summary where root_lot_id = 'GKG706'	GKG706 루트랏에 포함된 웨이퍼들의 웨이퍼 사이즈 조회
select distinct wafer_id, wafer_size from quality.m_defect_chip where root_lot_id = 'GKG706'	GKG706 루트랏에 포함된 웨이퍼들의 웨이퍼 사이즈 조회
select root_lot_id from quality.m_fab_tracking where last_update_time > current_timestamp + '-30 days' and line_id = 'KFBG' except select root_lot_id from quality.m_defect_summary where line_id = 'KFBG'	최근 한달 간 KFBG 라인에서 작업한 랏 중에 Defect 계측 이력이 없는 랏 리스트를 조회하시오
select distinct root_lot_id from quality.m_fab_tracking where last_update_time > current_timestamp + '-1 month' and line_id = 'KFBG' except select distinct root_lot_id from quality.m_defect_summary where line_id = 'KFBG'	최근 한달 간 KFBG 라인에서 작업한 랏 중에 Defect 계측 이력이 없는 랏 리스트를 조회하시오
select lot_id, wafer_id, chipx, chipy from (select lot_id, wafer_id, unnest(chip_x_pos) as chipx, unnest(chip_y_pos) as chipy, unnest(good_bin) as goodBin from quality.m_eds_chip_bin where last_update_time > current_timestamp + '-1 week' and process_id = 'PPBF' and step_seq = 'EDS_B') aa where goodBin = 'N'	최근 일주일 PPBF 공법 중에서 EDS Bake 테스트가 Bad bin인 chip 좌표 리스트를 랏, 웨이퍼 아이디와 함께 조회
select lot_id, wafer_id, step_seq, count(goodBin) from (select lot_id, wafer_id, step_seq, unnest(good_bin) as goodBin from quality.m_eds_chip_bin where last_update_time > current_timestamp + '-1 week' and process_id = 'PPBF') aa where goodBin = 'Y' group by lot_id, wafer_id, step_seq	PPBF 공법의 최근 일주일 EDS chip 테스트에서 랏, 웨이퍼, EDS 공정스텝 별 good bin인 chip 개수를 알고 싶어
select lot_id, wafer_id, unnest(chip_x_pos) chip_x_pos, unnest(chip_y_pos) chip_y_pos, unnest(good_bin) good_bin from quality.m_eds_chip_bin where process_id = 'KCAK'	KCAK 공법에 대한 LOT ID, WAFER ID, 칩 X 좌표, Y좌표, Good bin 여부 조회하라
select step_seq, lot_id, wafer_id, unnest(chip_x_pos) chip_x_pos, unnest(chip_y_pos) chip_y_pos, unnest(good_bin) good_bin from quality.m_eds_chip_bin where process_id = 'KCAK'	KCAK 공법에 대한 모든 EDS CHIP BIN 결과를 출력하되, EDS STEP SEQ, LOT ID, WAFER ID, CHIP X/Y 좌표, GOOD BIN 컬럼만 출력하라
select lot_id, wafer_id from quality.m_eds_chip_bin where process_id = 'KCAK' and not ('N' = any(good_bin))	EDS CHIP BIN 테스트 결과에서 KCAK 공법 중 모든 chip이 GOOD BIN에 해당하는 LOT, WAFER를 조회하라
select lot_id, wafer_id, array_length(BIN_NO,1) from quality.m_eds_chip_bin where process_id = 'KCAK'	KCAK 공법에 속한 LOT, WAFER에 대해 EDS CHIP BIN 테스트 대상 CHIP 개수를 조회
select wafer_id, count(*) from (select wafer_id, unnest(bin_no) bin_no from quality.m_eds_chip_bin where part_id = 'KCAK' and lot_id = 'CKA001')a where bin_no = '1' group by wafer_id	KCAK 제품의 CKA001 루트랏 중에서 WAFER 별로 BIN NO가 1인 CHIP 개수를 출력하라
select step_seq, count(array[item_id, subitem_id]) from (select step_seq, unnest(item_id) as item_id, unnest(subitem_id) as subitem_id from quality.m_eds_measure where root_lot_id = 'GKG706') aa group by step_seq	루트랏 GKG706의 EDS 테스트 항목 및 세부 테스트 항목들을 EDS 공정별로 개수 조회
select lot_id, wafer_id, step_seq, unnest(item_id) item_id, unnest(subitem_id) subitem_id from quality.m_eds_measure where root_lot_id = 'GKG706'	GKG706 루트랏의 랏, 웨이퍼, EDS 테스트 항목, 서브 테스트 항목을 조회하라
select lot_id, wafer_id, step_seq, item_id, subitem_id, count(msr_value) from (select lot_id, wafer_id, step_seq, unnest(item_id) item_id, unnest(subitem_id) subitem_id,  unnest(msr_value)::numeric msr_value from quality.m_eds_measure where root_lot_id = 'GKG706') aa group by lot_id, wafer_id, step_seq, item_id, subitem_id having count(msr_value) >= 2	GKG706 루트랏의 랏, 웨이퍼, EDS 공정 스텝, 아이템, 서브 아이템 항목 별로 EDS 계측 횟수가 2 이상인 경우를 조회
select lot_id, wafer_id, step_seq, item_id, subitem_id, array_agg(msr_value) from (select lot_id, wafer_id, step_seq, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(msr_value)::numeric msr_value from quality.m_eds_measure where root_lot_id = 'GKG706')aa group by lot_id, wafer_id, step_seq, item_id, subitem_id having count(msr_value) >= 2	GKG706 루트랏의 랏, 웨이퍼, EDS  공정 스텝, 아이템, 서브 아이템 항목 별로 EDS 테스트값이 두개 이상인 경우 해당 값들을 array로 묶어서 조회
select test_type, count(*) from quality.m_eds_measure where root_lot_id = 'PJA141' group by test_type	ROOT LOT이 PJA141인 경우에 대해, TEST TYPE 별로 EDS 테스트 결과 개수를 요약하라
select * from quality.m_eds_measure where last_update_time > current_date + interval '-30 days' and test_die_qty != net_die_qty	최근 30일 이내에 진행한 EDS MEASURE 중, 전체 CHIP 개수와 실제 EDS 측정한 CHIP 개수가 상이한 경우를 모두 출력
select distinct lot_id, wafer_id from quality.m_eds_measure where part_id = 'K4L8E165YE-GMC' and good_die_qty / net_die_qty < 0.8	K4L8E165YE-GMC 제품 중 EDS MEASURE에서 전체 chip 대비 good chip의 비율이 0.8 미만인 경우 LOT ID와 WAFER ID 리스트를 중복 제외하고 조회하라
select * from quality.m_fab_tracking where lot_id||wafer_id in (select distinct lot_id||wafer_id from quality.m_eds_measure where part_id = 'K4L8E165YE-GMC' and good_die_qty / net_die_qty < 0.5)	K4L8E165YE-GMC 제품 중 EDS MEASURE에서 전체 chip 대비 good chip의 비율이 0.5 미만인 LOT ID와 WAFER ID에 대한 모든 FAB 진행 이력을 조회하라
select probe_card_id, item_id, avg(msr_value) from (select probe_card_id, unnest(item_id) item_id, unnest(msr_value)::numeric msr_value from quality.m_eds_measure where part_id = 'K4L8E165YE-GMC')a where subitem_id = 'VALUE' group by probe_card_id, item_id	K4L8E165YE-GMC 제품의 EDS MEASURE 결과를 프로브 카드와 계측 항목 별로 계측 VALUE의 평균값을 계산하라
select probe_card_id, item_id, avg(msr_value) msr_value from (select probe_card_id, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(msr_value)::numeric msr_value from quality.m_eds_measure where part_id = 'K4L8E165YE-GMC')a where subitem_id = 'VALUE' group by item_id, probe_card_id	K4L8E165YE-GMC 제품의 EDS MEASURE 결과를 프로브 카드와 계측 항목 별로 서브 아이템 VALUE인 계측 값의 평균값을 계산
select lot_id, wafer_id, count(distinct item_id) from quality.m_eds_chip_measure where root_lot_id = 'GKC726' group by lot_id, wafer_id	루트랏이 GKC726인 랏&웨이퍼 별 EDS 칩 테스트 항목 unique 개수를 출력하라
select * from quality.m_eds_chip_measure where root_lot_id = 'GKC726' and item_type = 'FBM'	GKC726 루트랏의 EDS CHIP 계측 결과 중 테스트 항목이 FBM 인 테스트 결과만 출력
select * from quality.m_eds_chip_measure where root_lot_id = 'GKC726' and item_type in ('FBM', 'MSR')	GKC726 루트랏 중에서 EDS 칩 테스트 항목이 FBM 이거나 MSR 관련 결과만 출력
select distinct item_type from quality.m_eds_chip_measure	EDS 칩 테스트에 대한 모든 테스트 항목을 조회하되 중복은 제거
select * from quality.m_eds_chip_measure where process_id = 'PPBU' and lot_id = 'PUO077' and step_seq = 'EDS_B' and item_id like 'MSR%'	PPBU 공법으로 제작한 PUO077 랏의 EDS 테스트 결과 중에서, EDS STEP이 EDS_B이고 테스트 항목이 MSR로 시작하는 모든 테스트 결과를 출력하라
select min(tkout_time), max(tkout_time) from quality.m_eds_chip_bin where process_id = 'PPIT' and root_lot_id = 'PTJ4P8'	PPIT 공법으로 진행한 PTJ4P8 루트랏의 EDS CHIP BIN 측정 기간을 출력
select wafer_id, step_seq, bin_no from quality.m_eds_chip_bin where process_id = 'PPIT' and lot_id = 'PTJ4P8' order by wafer_id	PPIT 공법으로 진행한 PTJ4P8 랏에 대해 Wafer, EDS STEP, CHIP BIN 값을 Wafer 순으로 정렬하여 조회
select bin_no, count(0) from (select unnest(bin_no) bin_no from quality.m_eds_chip_bin where process_id = 'PPIT' and lot_id = 'PTJ4P8' and step_seq = 'EDS_B') a group by bin_no	PPIT 공법으로 진행한 PTJ4P8 랏의 EDS CHIP BIN 결과 중 EDS STEP이 EDS_B인 결과에 대해 BIN_NO 별로 CHIP 개수를 출력하라
select step_seq, bin_no, count(0) from (select step_seq, unnest(bin_no) bin_no from quality.m_eds_chip_bin where process_id = 'PPIT' and lot_id = 'PTJ4P8') a group by step_seq, bin_no order by step_seq, bin_no	PPIT 공법으로 진행한 PTJ4P8 랏의 EDS CHIP 계측 결과로 부터 EDS STEP과 BIN 번호에 따른 CHIP 개수를 요약하여 출력하고 STEP 및 BIN 번호로 정렬하라
select step_seq, bin_no, count(0) from (select step_seq, unnest(bin_no) bin_no from quality.m_eds_chip_bin where process_id = 'PPIT' and lot_id = 'PTJ4P8') a group by step_seq, bin_no having count(0) > 10 order by step_seq, bin_no	PPIT 공법으로 진행한 PTJ4P8 랏의 EDS CHIP BIN 계측 결과로 부터 EDS STEP과 BIN 번호에 따른 CHIP 개수를 요약하여 CHIP 개수가 최소 10개 초과인 것만 출력하고 STEP 및 BIN 번호로 정렬하라
select * from QUALITY.M_FAB_TRACKING where root_lot_id = 'MTE056'	MET056 루트랏의 모든 FAB 진행 이력을 조회하라
select distinct LOT_ID from QUALITY.M_FAB_TRACKING where root_lot_id = 'MTE056'	MET056 루트랏에서 분기된 모든 Unique LOT ID를 조회
select count(distinct eqp_id) from QUALITY.M_FAB_TRACKING where root_lot_id = 'MTE056'	MET056 루트랏이 거쳐간 모든 설비의 중복 제외한 값을 조회
select count(distinct eqp_id, chamber_id) from quality.m_fab_tracking where root_lot_id = 'MTE056'	MET056 루트랏이 지나간 모든 설비/챔버 조합의 개수를 조회
select distinct root_lot_id from QUALITY.m_fab_tracking where PROCESS_ID = 'PPIT'	공법 PPIT 에 대한 모든 Root lot을 조회하되 중복된 값을 제거
select count (distinct root_lot_id) from QUALITY.m_fab_tracking where PROCESS_ID = 'PPIT'	PPIT 공법ID에 대한 모든 유니크 Root lot ID 개수 조회
select area, count(distinct eqp_id) from QUALITY.m_fab_tracking where PROCESS_ID = 'PPIT' group by area	PROCESS ID가 PPIT인 경우, area 별 진행해야 할 설비 대수
select distinct part_id from QUALITY.m_fab_tracking where PROCESS_ID = 'KHLA'	공법이 KHLA인 모든 제품ID 리스트 조회하고 중복값은 제거
select DISTINCT PROCESS_ID from QUALITY.m_fab_tracking where PART_ID = 'K4F8E164HM-HEB'	K4F8E164HM-HEB 제품과 연관이 있는 모든 고유 PROCESS ID를 조회
select * from QUALITY.m_fab_tracking where tkin_time > '2021-07-01' and eqp_id = 'WWOP802'	2021년 7월 1일 이후 WWOP802 설비의 모든 FAB 진행 이력을 조회
select distinct ppid from QUALITY.m_fab_tracking where eqp_id = 'WWOP802'	WWOP802 설비에 적용된 모든 PPID를 조회
select distinct LINE_ID from QUALITY.m_fab_tracking	모든 유니크한 LINE ID를 조회
select line_id, count(distinct part_id) from QUALITY.m_fab_tracking where tkin_time > '2021-01-01' group by line_id order by count(distinct part_id) desc	올해 라인 별 생산된 제품 개수를 계산하고 개수가 많은 순으로 조회
select avg(chamber_cnt) from (select eqp_id, count(distinct chamber_id) chamber_cnt from QUALITY.m_fab_tracking where area = 'PHOTO' group by eqp_id) aa	PHOTO 공정의 경우 한 설비당 평균 CHAMBER 개수 산출
select line_id, avg(chamber_cnt) from (select line_id, eqp_id, count(distinct chamber_id) chamber_cnt from QUALITY.m_fab_tracking where area = 'PHOTO' group by line_id, eqp_id) aa group by line_id	각 라인별 PHOTO 공정에 속한 설비의 평균 챔버 대수 조회
select * from QUALITY.m_fab_tracking where foup_id = 'PMG07288'	PMG07288 FOUP의 모든 FAB 이력 조회
select distinct LOT_ID from QUALITY.m_fab_tracking where foup_id = 'PMG07288'	PMG07288 FOUP을 거쳐간 모든 고유한 LOT ID 리스트 조회
select * from QUALITY.m_fab_tracking where lot_id = 'PKE188' and rework_cnt >= 2	PKE188 랏 FAB 이력 중에서 동일 공정 재작업 두번 이상인 모든 이력을 조회
select eqp_id, avg(rework_cnt) from QUALITY.m_fab_tracking where line_id = 'KFBC' and area = 'ETCH' and tkin_time > current_timestamp + '-30 days' group by eqp_id order by avg(rework_cnt) desc	최근 한달간 KFBC 라인 ETCH 공정에서 진행한 FAB 이력중, 평균 재작업 횟수가 높은 설비 순으로 조회
select * from QUALITY.m_fab_tracking where tkin_time > current_timestamp + '-30 days' and owning_line_id = 'KFBG' and line_id != owning_line_id	최근 한달 간 작업한 FAB 이력 중 공정 시작 라인은 KFBG 였으나, 중간에 다른 라인에서 공정이 진행된 이력 리스트 조회
select EQP_MODEL, COUNT(distinct EQP_ID) from QUALITY.m_fab_tracking where line_id = 'KFBH' and area = 'ETCH' group by EQP_MODEL order by EQP_MODEL	KFBH 라인 ETCH 공정에서 설비 모델 별 unique 설비 대수를 설비 모델 순으로 정렬하여 조회
select EQP_MODEL, COUNT(distinct EQP_TYPE) from QUALITY.m_fab_tracking where line_id = 'KFBH' and area = 'ETCH' group by EQP_MODEL order by EQP_MODEL	KFBH라인 ETCH 공정 설비들에 대해 각 EQP MODEL에 대한 EQP TYPE 개수를 통계 산출하여 EQP MODEL 순으로 조회
select EQP_TYPE, COUNT(distinct EQP_MODEL) from QUALITY.m_fab_tracking where line_id = 'KFBH' and area = 'ETCH' group by EQP_TYPE order by EQP_TYPE	KFBH라인 ETCH 공정 설비들에 대해 각 EQP TYPE에 대한 EQP MODEL 개수를 통계 산출하되 EQP TYPE 순으로 정렬
select * from quality.m_eds_bin where eqp_id = 'TM4072' and last_update_time > current_timestamp + '-30 days'	최근 한달간 TM4072 설비에서 측정한 EDS BIN 테스트 결과 조회
select * from quality.m_eds_bin where eqp_id = 'TM4072' and ROOT_LOT_ID = 'CKG7P0'	EDS 설비 TM4072에서 수행한 CKG7P0 루트랏의 EDS BIN 테스트 결과 출력
select root_lot_id, lot_id, wafer_id, tkin_time, tkout_time, line_id, part_id, process_id, step_seq, lot_type, eqp_model, eqp_id, flat_zone, good_die_qty, if_ver, laser_eqp, last_flag, low_yield_limit, nce_code, net_die_qty, one_step_flag, operator_id, over_drive, para, pgm_id, pgm_mode, probe_card_id, probe_type, rework_cnt, scspgm, shot, simax_step, owning_line_id, dev_den_ver, test_die_qty, test_lot_id, test_type, tier, chip_x_max_pos, chip_x_min_pos, chip_x_size, chip_y_max_pos, chip_y_min_pos, chip_y_size, last_update_time, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(bin_value)  bin_value, test_wafer_id from quality.m_eds_bin where eqp_id = 'TM4072' and ROOT_LOT_ID = 'CKG7P0'	EDS 설비 TM4072에서 수행한 CKG7P0 루트랏의 EDS BIN 테스트 결과를 조회하고 모든 array 컬럼은 풀어서 조회
select * from (select root_lot_id, lot_id, wafer_id, tkin_time, tkout_time, line_id, part_id, process_id, step_seq, lot_type, eqp_model, eqp_id, flat_zone, good_die_qty, if_ver, laser_eqp, last_flag, low_yield_limit, nce_code, net_die_qty, one_step_flag, operator_id, over_drive, para, pgm_id, pgm_mode, probe_card_id, probe_type, rework_cnt, scspgm, shot, simax_step, owning_line_id, dev_den_ver, test_die_qty, test_lot_id, test_type, tier, chip_x_max_pos, chip_x_min_pos, chip_x_size, chip_y_max_pos, chip_y_min_pos, chip_y_size, last_update_time, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(bin_value)  bin_value, test_wafer_id from quality.m_eds_bin where eqp_id = 'TM4072' and ROOT_LOT_ID = 'CKG7P0')a where subitem_id = 'PERCENT'	EDS 설비 TM4072에서 수행한 CKG7P0 루트랏의 EDS BIN 테스트 결과 중 subitem ID가 PERCENT 인 것만 조회하되 array는 풀어서 조회
select distinct item_id from (select unnest(item_id) item_id from quality.m_eds_bin where eqp_id = 'TM4072' and ROOT_LOT_ID = 'CKG7P0')a	EDS 설비 TM4072에서 수행한 CKG7P0 루트랏의 테스트 ITEM ID 리스트를 중복 제외하고 조회
select count(distinct item_id) from (select unnest(item_id) item_id from quality.m_eds_bin where ROOT_LOT_ID = 'CKG7P0')a	CKG7P0 루트랏의 전체 EDS BIN 테스트 항목 개수를 조회
select eqp_id, count(distinct item_id) from (select eqp_id, unnest(item_id) item_id from quality.m_eds_bin where ROOT_LOT_ID = 'CKG7P0')a group by eqp_id order by eqp_id	CKG7P0 루트랏의 EDS 설비 별 BIN 테스트 항목 unique 개수를 설비명 순으로 조회
select wafer_id from (select wafer_id, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(bin_value)::numeric bin_value from quality.m_eds_bin where ROOT_LOT_ID = 'CKG7P0')a where ITEM_ID = 'BIN0001' and subitem_id = 'PERCENT' and bin_value > 90 order by wafer_id	CKG7P0 루트랏 중에서 EDS 테스트 아이템 BIN000의 Bin 값이 90% 이상인 wafer 리스트를 Wafer ID 순으로 정렬하여 조회
select root_lot_id, wafer_id, bin_value from (select root_lot_id, wafer_id, eqp_id, unnest(item_id) item_id, unnest(subitem_id) subitem_id, unnest(bin_value):: numeric bin_value from quality.m_eds_bin where process_id = 'PPIT')a where eqp_id = 'TM4072' and item_id = 'BIN0002' and subitem_id = 'PERCENT' and bin_value > 95	PPIT 공법 중에서 EDS TM4072 설비 테스트 결과 테스트 아이템은 BIN0002 서브아이템은 PERCENT, BIN 값이 95 이상인 ROOT LOT, WAFER, BIN VALUE를 출력하라 ARRAY는 풀어서 조회하라
select eqp_id, count(distinct item_id) from (select eqp_id, unnest(item_id) item_id from quality.m_eds_bin)a where item_id like 'BIN%' group by eqp_id having count(distinct item_id) >= 10	BIN으로 시작하는 EDS 테스트 항목이 최소 10개 이상인 설비에 대해 각 설비별 테스트 항목 개수를 출력하라
